Genes,Pathways
EGFR,path:hsa05223;path:hsa05171;path:hsa04510;path:hsa04928;path:hsa04926;path:hsa04151;path:hsa04921;path:hsa05235;path:hsa05230;path:hsa05231;path:hsa04520;path:hsa05218;path:hsa04934;path:hsa05219;path:hsa04066;path:hsa04630;path:hsa04912;path:hsa05226;path:hsa04014;path:hsa05224;path:hsa04540;path:hsa04068;path:hsa05215;path:hsa04810;path:hsa05120;path:hsa05225;path:hsa05214;path:hsa04915;path:hsa04020;path:hsa04015;path:hsa04010;path:hsa04072;path:hsa05131;path:hsa05205;path:hsa05206;path:hsa05200;path:hsa05160;path:hsa04012;path:hsa04144;path:hsa05163;path:hsa05212;path:hsa05213;path:hsa05210;path:hsa05165;WP138;WP2261;WP2324;WP2363;WP2431;WP2586;WP2817;WP2828;WP2868;WP2873;WP2870;WP2882;WP306;WP4300;WP3303;WP3680;WP382;WP3853;WP3927;WP3931;WP3932;WP4018;WP4155;WP4172;WP4217;WP4223;WP4255;WP4262;WP4263;WP437;WP4483;WP4538;WP4540;WP4541;WP4657;WP4659;WP4674;WP4806;WP51;WP673
SUMO3,path:hsa03013;path:hsa05418;WP410
CD47,path:hsa04512;WP2431
IGFBP3,path:hsa04935;path:hsa04115;path:hsa05202;path:hsa04218;WP2877;WP289;WP3614;WP3888;WP4949;WP615
ZNF281,WP2857
ATP2B1,path:hsa04925;path:hsa04261;path:hsa04961;path:hsa04024;path:hsa04978;path:hsa04020;path:hsa04970;path:hsa04972;path:hsa04022;WP2877;WP4148;WP4698;WP536
GPD2,path:hsa00564;WP143
IL11RA,path:hsa04630;path:hsa04640;path:hsa04060;WP2332;WP4337;WP4538
LPAR6,path:hsa04151;path:hsa04072;path:hsa05200;path:hsa04080;WP3932;WP4172;WP455;WP4900;WP80
CD9,path:hsa04640;WP2877
AP1G1,path:hsa04142;path:hsa05170
TGFB1I1,WP138;WP1455;WP366;WP727
SERPINB2,path:hsa04610;WP272;WP2873;WP2882;WP4659;WP615
SF3B6,path:hsa03040
CYP4B1,WP299;WP43;WP702
CNGB1,path:hsa04024;path:hsa04022;path:hsa04740;path:hsa04744;WP4008;WP4803
RUBCN,path:hsa04140
ZNF419,path:hsa05168
ALCAM,path:hsa04514
NTRK2,path:hsa04151;path:hsa05034;path:hsa04014;path:hsa04020;path:hsa04010;path:hsa04722;WP2380;WP3676;WP382;WP3853;WP4172;WP4223;WP4539;WP4540;WP4541;WP4549;WP4561;WP4565;WP4829;WP706
NFIL3,WP395;WP3893
ULBP1,path:hsa04650;WP4963
BABAM2,path:hsa03440
XPOT,path:hsa03013
TFB2M,WP1541;WP391
IMMP1L,path:hsa03060
PIGO,path:hsa00563
ACBD3,path:hsa05132
URM1,path:hsa04122
MRC2,path:hsa04145;path:hsa05152
MMP10,WP129;WP3888
DEK,WP4754
IL6R,path:hsa05171;path:hsa04151;path:hsa04932;path:hsa04066;path:hsa04630;path:hsa04659;path:hsa04640;path:hsa05200;path:hsa04060;path:hsa04061;path:hsa05163;WP2848;WP364;WP3646;WP3932;WP4172;WP4337;WP4396;WP4538;WP4806;WP5063;WP615;WP706
FAAH,path:hsa04723;WP3869
HAO2,path:hsa04146;path:hsa00630
HUWE1,path:hsa04120
RPS27A,path:hsa05022;path:hsa05171;path:hsa04120;path:hsa03010;path:hsa04137;path:hsa05131;path:hsa05012;path:hsa05167;WP477
CSGALNACT2,path:hsa00532
ACTB,path:hsa04611;path:hsa04510;path:hsa05100;path:hsa04921;path:hsa05132;path:hsa05135;path:hsa04520;path:hsa05414;path:hsa05416;path:hsa05410;path:hsa05412;path:hsa04530;path:hsa04971;path:hsa04145;path:hsa05014;path:hsa04810;path:hsa04714;path:hsa04613;path:hsa05225;path:hsa04390;path:hsa05418;path:hsa04015;path:hsa05131;path:hsa05130;path:hsa05205;path:hsa04670;path:hsa04210;path:hsa05110;path:hsa05164;path:hsa04919;WP2118;WP2272;WP2636;WP289;WP306;WP314;WP4217;WP4298;WP4321;WP4534;WP4879;WP51
PXDN,WP437
FANCI,path:hsa03460;WP2363;WP4946
LARS2,path:hsa00970;WP3925;WP4754
AURKB,WP2038;WP3878
ACADSB,path:hsa00071;path:hsa00280;WP3871
HSD11B1,path:hsa00140;path:hsa00980;path:hsa05204;WP4523;WP5064;WP98
KIFC3,WP2858;WP4754
NUBPL,WP4239
MRPS7,path:hsa03010
ZNF93,path:hsa05168
GNG7,path:hsa04926;path:hsa04151;path:hsa05032;path:hsa05034;path:hsa04726;path:hsa04728;path:hsa04724;path:hsa04062;path:hsa04014;path:hsa04713;path:hsa04727;path:hsa04371;path:hsa05200;path:hsa05170;path:hsa04725;path:hsa05163;path:hsa04740;path:hsa04723;path:hsa05167;WP289;WP35;WP3929;WP3932;WP4172;WP4223;WP536
ALOX15B,path:hsa04726;path:hsa00590;WP167;WP15;WP4721
EXOC6,WP3670;WP4352
PELO,path:hsa03015;WP3932
SGCD,path:hsa05414;path:hsa05416;path:hsa05410;path:hsa05412;WP2118;WP4298
MAOA,path:hsa00380;path:hsa00330;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04726;path:hsa04728;path:hsa00360;path:hsa00340;path:hsa00260;path:hsa00982;path:hsa05012;path:hsa00350;WP1455;WP2436;WP3298;WP3925;WP408;WP4220;WP4879;WP550;WP706
FBL,path:hsa03008
CERS5,path:hsa04071;path:hsa00600;WP1422;WP4726
ECI2,path:hsa04146;path:hsa00071
RASGRP1,path:hsa04611;path:hsa04660;path:hsa05235;path:hsa04014;path:hsa04010;path:hsa05200;WP2583;WP2877;WP382;WP4223;WP732
SYNE1,WP4535
GNL2,path:hsa03008
RAB7A,path:hsa05132;path:hsa04145;path:hsa04140;path:hsa05146;path:hsa04137;path:hsa05152;path:hsa04144;WP4217;WP4788;WP4856
G6PD,path:hsa05230;path:hsa05415;path:hsa00480;path:hsa00030;WP100;WP134;WP1946;WP2877;WP2882;WP2884;WP3878;WP4290;WP4698;WP5046;WP5049;WP692
PMEPA1,WP4904
ALOX5,path:hsa04664;path:hsa04726;path:hsa04913;path:hsa00590;path:hsa05145;WP167;WP15;WP2877;WP4721
IRAK2,path:hsa05152;path:hsa04722;WP1449;WP195;WP2637;WP4136;WP4496
SF3B5,path:hsa03040;WP411
EIF3G,path:hsa03013;WP107;WP5027
AADAT,path:hsa00380;path:hsa00310;WP465
MAOB,path:hsa00380;path:hsa00330;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04726;path:hsa04728;path:hsa00360;path:hsa00340;path:hsa00260;path:hsa00982;path:hsa05012;path:hsa00350;WP2436;WP465;WP4879
RAB27A,WP2291;WP4301
PLIN5,path:hsa03320
CHMP1A,path:hsa04217;path:hsa04144
ARHGAP32,WP4549
POLR1E,path:hsa03020;WP4022;WP405
RSAD2,path:hsa05160;path:hsa05164;WP4341
TMSB4Y,path:hsa04810
ALG2,path:hsa00513;path:hsa00510
GLI2,path:hsa05217;path:hsa04390;path:hsa05200;path:hsa04340;WP2855;WP4204;WP4249;WP47;WP4787;WP4803;WP5053
TMEM67,WP4536;WP4656;WP4803
TXK,path:hsa04670;WP306
CALCR,path:hsa04080;path:hsa04380;WP2018;WP334
STX18,path:hsa04145;path:hsa04130
FKBP4,path:hsa04915;WP138
ARHGAP10,path:hsa05100;WP2858
