Genes,Pathways
ARNTL,path:hsa04710;path:hsa04728;WP3298;WP410;WP4657;WP4673;WP47
EDA2R,path:hsa04064;path:hsa04060;WP2858
FUT9,path:hsa00515;path:hsa00603;path:hsa00601;WP1424
ACVR1,path:hsa04350;path:hsa04550;path:hsa05418;path:hsa04060;WP2857;WP3931
CAPN6,WP185
GFI1,WP3893
ZNF311,path:hsa05168
RAB3B,WP4856
INSL3,path:hsa04926;path:hsa04080;WP4842
PDE3A,path:hsa05032;path:hsa04024;path:hsa04924;path:hsa00230;path:hsa04022;WP4008;WP4222
POMC,path:hsa04927;path:hsa04925;path:hsa04920;path:hsa04934;path:hsa04024;path:hsa04915;path:hsa04080;path:hsa04916;WP2355;WP3947;WP4746;WP4970
ST6GALNAC3,path:hsa00604;WP1424
RPGRIP1L,WP4536;WP4656;WP4803
RHOA,path:hsa04611;path:hsa04660;path:hsa04510;path:hsa05100;path:hsa04928;path:hsa04921;path:hsa04350;path:hsa05133;path:hsa05132;path:hsa05135;path:hsa04520;path:hsa04530;path:hsa04062;path:hsa04014;path:hsa04310;path:hsa04810;path:hsa05417;path:hsa04071;path:hsa04360;path:hsa04621;path:hsa04024;path:hsa05418;path:hsa04270;path:hsa04625;path:hsa05152;path:hsa04015;path:hsa04972;path:hsa04072;path:hsa05131;path:hsa05130;path:hsa05205;path:hsa05206;path:hsa05200;path:hsa05203;path:hsa04670;path:hsa04144;path:hsa04022;path:hsa05163;path:hsa05210;path:hsa04150;path:hsa04722;WP138;WP1528;WP1544;WP2034;WP2272;WP2324;WP2355;WP2431;WP244;WP306;WP35;WP363;WP3655;WP366;WP3680;WP3888;WP399;WP4136;WP4150;WP4216;WP4217;WP4223;WP4263;WP428;WP4535;WP4540;WP4542;WP4561;WP4564;WP4565;WP4656;WP4659;WP4747;WP4872;WP4829;WP4962;WP4969;WP51;WP524;WP710
SUMF1,path:hsa04142
BCL2L12,WP3872
PECR,path:hsa04146;WP2328;WP357;WP368
POM121C,path:hsa05014;path:hsa03013
HRK,path:hsa04210;WP1772;WP254
PPP2R5E,path:hsa04151;path:hsa04728;path:hsa04114;path:hsa03015;path:hsa04152;path:hsa04071;path:hsa04261;path:hsa05165;WP3932;WP399;WP4172;WP500;WP710
GNB1L,WP4657
POLR3E,path:hsa04623;path:hsa03020;WP4022;WP405;WP4655
NR1D1,path:hsa04710
CDH13,WP4018;WP4540;WP4541
UBXN1,path:hsa04141
FBXO22,path:hsa05132;WP4286
SIGMAR1,path:hsa05022;path:hsa05014
NFATC1,path:hsa04660;path:hsa04921;path:hsa04662;path:hsa05135;path:hsa05235;path:hsa04933;path:hsa05321;path:hsa04659;path:hsa04658;path:hsa04310;path:hsa05166;path:hsa05417;path:hsa04024;path:hsa04625;path:hsa04010;path:hsa04650;path:hsa04380;path:hsa05170;path:hsa04022;path:hsa04218;path:hsa05163;path:hsa05161;path:hsa05167;WP1591;WP2018;WP2858;WP3414;WP382;WP3888;WP428;WP4482;WP4585;WP4666;WP69
NFS1,path:hsa04122;path:hsa00730
CCL21,path:hsa04062;path:hsa04064;path:hsa04060;path:hsa04061;WP2328;WP3929
CA12,path:hsa00910
NPBWR2,path:hsa04080;WP455
PQBP1,path:hsa03040
PRH1,path:hsa04970
CDON,path:hsa04340;WP2858;WP3584;WP4249
PPP1R1B,path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04728;path:hsa04024;WP1602;WP4222
PAX6,path:hsa04950;path:hsa04550;WP2406;WP2857;WP2858
PRF1,path:hsa05330;path:hsa05332;path:hsa05416;path:hsa05320;path:hsa04940;path:hsa04650;path:hsa04210;WP2507;WP2328;WP254
PLA2G4F,path:hsa04750;path:hsa04611;path:hsa04921;path:hsa04664;path:hsa04666;path:hsa00565;path:hsa00564;path:hsa05231;path:hsa04726;path:hsa04724;path:hsa04730;path:hsa04913;path:hsa04912;path:hsa04014;path:hsa04370;path:hsa04270;path:hsa04217;path:hsa00592;path:hsa00590;path:hsa00591;path:hsa04010;path:hsa04072;WP382;WP4223
TIMP1,path:hsa04066;WP129;WP2814;WP2865;WP3624;WP364;WP4754
OR2K2,path:hsa04740
RABEP1,path:hsa04144
SESN1,path:hsa04115;path:hsa04211;WP1530;WP2857;WP4674;WP4963;WP707
UFD1,path:hsa04141;WP4657
AGER,path:hsa05022;path:hsa04933;path:hsa05415;path:hsa05010;path:hsa05417;path:hsa04613;WP2324;WP2882;WP2884;WP4479
KLK6,WP2877
DUSP8,path:hsa04010;WP382
NCSTN,path:hsa05010;path:hsa04330;WP2059;WP268;WP61
RAET1E,path:hsa04650
RAD52,path:hsa03440;WP186;WP1530;WP1545;WP4946;WP707
PTTG1,path:hsa04110;path:hsa04114;path:hsa05166;WP179;WP4240
USP8,path:hsa04934;path:hsa04137;path:hsa04144;WP437;WP4673
NADK,path:hsa00760;WP3644
CSNK1G1,path:hsa04340;WP363;WP4249
MAP4K4,path:hsa04010;WP382;WP3915;WP4534;WP4537;WP481
WNT8A,path:hsa05022;path:hsa04934;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05010;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05205;path:hsa05200;path:hsa04916;path:hsa04150;path:hsa05165;WP2064;WP2853;WP4239;WP4787
WIPF3,path:hsa05135;path:hsa05130;path:hsa04144
CHI3L1,WP2815
PPAT,path:hsa00250;path:hsa00230;WP1601;WP4290
KAT6A,path:hsa04550;WP3651
KIDINS220,path:hsa04722;WP2380;WP4561;WP4565
MAF,path:hsa05321;path:hsa04658;path:hsa05202;WP3;WP3945;WP4357;WP4874
CACNA1C,path:hsa05020;path:hsa05022;path:hsa04929;path:hsa04927;path:hsa04925;path:hsa04921;path:hsa05031;path:hsa04726;path:hsa04728;path:hsa04724;path:hsa04930;path:hsa04934;path:hsa04935;path:hsa04911;path:hsa05414;path:hsa05410;path:hsa05412;path:hsa04912;path:hsa05010;path:hsa04720;path:hsa04713;path:hsa04727;path:hsa04261;path:hsa04024;path:hsa04270;path:hsa04020;path:hsa04924;path:hsa04010;path:hsa04260;path:hsa04022;path:hsa04725;path:hsa04742;path:hsa04723;WP1603;WP2059;WP2118;WP382;WP4539;WP4698;WP536
POLR3GL,path:hsa04623;path:hsa03020;WP4022;WP4655
CYTH1,path:hsa05132;path:hsa04072;path:hsa05131;path:hsa05130;path:hsa04144
LYL1,path:hsa05202;WP3640;WP3945
S100A10,path:hsa05132;WP98
HOXD1,path:hsa04550
CRACR2B,WP2877
APOA5,path:hsa03320;WP2878;WP2882;WP3942;WP430
FLT1,path:hsa04510;path:hsa04151;path:hsa04066;path:hsa04014;path:hsa04020;path:hsa04015;path:hsa04010;path:hsa05323;path:hsa05202;WP1539;WP306;WP3640;WP3888;WP3932;WP4018;WP4172;WP4223;WP4540;WP4541
BCKDK,WP4297
PTK2,path:hsa04510;path:hsa05100;path:hsa04151;path:hsa05135;path:hsa04935;path:hsa05222;path:hsa04062;path:hsa05146;path:hsa04810;path:hsa05417;path:hsa04360;path:hsa04370;path:hsa05418;path:hsa05131;path:hsa05205;path:hsa05200;path:hsa05202;path:hsa04012;path:hsa04670;path:hsa05170;path:hsa05163;path:hsa05165;WP138;WP185;WP2018;WP2034;WP2037;WP2355;WP244;WP2572;WP2864;WP306;WP313;WP3287;WP3301;WP3303;WP366;WP3680;WP3888;WP3929;WP3932;WP3995;WP4172;WP437;WP4541;WP4560;WP4658;WP4659;WP4747;WP51;WP673
NRF1,path:hsa05016;path:hsa04371;WP1541;WP3670;WP391
SMARCB1,path:hsa04714;path:hsa05225;WP4204;WP4321;WP5072
SP3,WP3584;WP4341;WP706
SIX3,WP3527
GLUD2,path:hsa00250;path:hsa00910;path:hsa00471;path:hsa04964;path:hsa04217;path:hsa00220
SETD1A,path:hsa00310;WP2369
MTRR,WP176;WP1533;WP241;WP4673
GPC3,path:hsa05205
MRPS21,path:hsa03010
EXTL3,path:hsa00534;WP4784
TLR2,path:hsa05171;path:hsa04151;path:hsa05132;path:hsa05134;path:hsa05235;path:hsa05321;path:hsa04145;path:hsa05146;path:hsa05144;path:hsa05417;path:hsa04613;path:hsa05142;path:hsa05152;path:hsa05140;path:hsa05145;path:hsa05205;path:hsa05323;path:hsa04620;path:hsa05170;path:hsa05169;path:hsa05161;path:hsa05162;path:hsa05168;WP1449;WP2806;WP2865;WP3858;WP3877;WP3926;WP4172;WP4341;WP4666;WP75
GALE,path:hsa00052;path:hsa00520
ESR1,path:hsa05224;path:hsa04961;path:hsa04915;path:hsa05205;path:hsa04917;path:hsa05200;path:hsa04919;WP170;WP1984;WP2034;WP2586;WP2814;WP2817;WP2881;WP2882;WP4262;WP4483;WP4673;WP4949;WP712
IGFALS,path:hsa04935
CNOT8,path:hsa03018
HTR3C,path:hsa04726;path:hsa04742
ZNF649,path:hsa05168
ATP2A3,path:hsa05022;path:hsa05414;path:hsa05410;path:hsa05412;path:hsa05415;path:hsa05010;path:hsa05017;path:hsa04261;path:hsa04024;path:hsa04020;path:hsa04972;path:hsa04260;path:hsa04022;path:hsa04919;WP2059;WP289;WP536
CHRNB2,path:hsa05033;path:hsa04080;path:hsa04725;WP1602;WP706
TRIP6,path:hsa04621
ST3GAL5,path:hsa00604;WP1423
RPA1,path:hsa03460;path:hsa03430;path:hsa03030;path:hsa03440;path:hsa03420;WP186;WP2446;WP3875;WP45;WP466;WP4753;WP4946;WP531
GCAT,path:hsa00260
ZNF253,path:hsa05168
CANX,path:hsa04918;path:hsa04145;path:hsa05166;path:hsa04141;path:hsa04612
RPA2,path:hsa03460;path:hsa03430;path:hsa03030;path:hsa03440;path:hsa03420;WP1530;WP2446;WP45;WP466;WP4753;WP4946;WP531;WP707
PRLHR,path:hsa04080;WP455
MRPS18C,path:hsa03010
TSHB,path:hsa04923;path:hsa04918;path:hsa05320;path:hsa04024;path:hsa04080;WP2032;WP4746
CYLD,path:hsa04622;path:hsa04217;path:hsa04625;path:hsa04380;path:hsa04064;WP1449;WP3865;WP4655
CLIC1,WP3888
CBS,path:hsa00270;path:hsa00260;WP176;WP15;WP1533;WP1589;WP2333;WP2525;WP2877;WP3925;WP4292;WP4352
PLCH1,path:hsa00562;WP2857;WP3958
CPSF6,path:hsa03015
MYOD1,path:hsa05017;WP2023;WP2029;WP4787;WP4879;WP53
SLC20A2,WP4917
CBX1,WP4320
PAFAH1B3,path:hsa00565
TRH,path:hsa04080;WP1981;WP4746
CYP2C9,path:hsa00830;path:hsa04726;path:hsa05417;path:hsa00980;path:hsa00982;path:hsa00590;path:hsa00591;path:hsa05204;WP2875;WP2876;WP2877;WP2882;WP299;WP3869;WP3871;WP4174;WP43;WP678;WP691;WP702
GNPDA2,path:hsa00520
CD1A,path:hsa04530;path:hsa05146;path:hsa04640
MAPK12,path:hsa05020;path:hsa05022;path:hsa04750;path:hsa04611;path:hsa04660;path:hsa05171;path:hsa04926;path:hsa04664;path:hsa05133;path:hsa05132;path:hsa05135;path:hsa05235;path:hsa04728;path:hsa04933;path:hsa04935;path:hsa04114;path:hsa05415;path:hsa04659;path:hsa04658;path:hsa04912;path:hsa05014;path:hsa04068;path:hsa04668;path:hsa05120;path:hsa04714;path:hsa04550;path:hsa05417;path:hsa04071;path:hsa04613;path:hsa04261;path:hsa05142;path:hsa04621;path:hsa04622;path:hsa04370;path:hsa05418;path:hsa04625;path:hsa04657;path:hsa05152;path:hsa04015;path:hsa04010;path:hsa05140;path:hsa05145;path:hsa05131;path:hsa05130;path:hsa05205;path:hsa04917;path:hsa04670;path:hsa04620;path:hsa04380;path:hsa05170;path:hsa04218;path:hsa05163;path:hsa05169;path:hsa04723;path:hsa05161;path:hsa04722;path:hsa05167;path:hsa04914;WP1449;WP185;WP2371;WP26;WP3303;WP3612;WP382;WP3865;WP3888;WP3915;WP3931;WP422;WP4239;WP4321;WP4341;WP4538;WP4864;WP4666;WP4767;WP4787;WP481;WP4877;WP75
CDH12,WP4540;WP4541
SEC61A1,path:hsa03060;path:hsa04145;path:hsa04141;path:hsa05110
GPRC5B,WP501
DUSP1,path:hsa04726;path:hsa05418;path:hsa04010;path:hsa05012;WP382;WP4482
EHMT2,path:hsa00310;path:hsa04211;WP2369;WP3996;WP4288
ACAD8,path:hsa00280
PLCD3,path:hsa00562;path:hsa04933;path:hsa04020;path:hsa04070;path:hsa05131;path:hsa04919;WP3958;WP4481
CD99L2,path:hsa04514;path:hsa04670
BAMBI,path:hsa04350;path:hsa04310;WP4816;WP560
PVR,path:hsa04514
RPL17-C18orf32,path:hsa05171;path:hsa03010
KLC3,path:hsa05020;path:hsa05022;path:hsa05132;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05012
TGS1,path:hsa03013
SDHA,path:hsa00020;path:hsa05020;path:hsa05022;path:hsa04932;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa05012;WP111;WP2453;WP3925;WP4396;WP4920;WP78
TAX1BP1,path:hsa04137
PIGC,path:hsa00563
CCKBR,path:hsa04971;path:hsa04020;path:hsa04080;WP117;WP24;WP2597;WP3679;WP455;WP4659
NOL6,path:hsa03008
TYMS,path:hsa00240;path:hsa00670;WP1601;WP241;WP2446;WP2525;WP3940;WP3996;WP4022
MST1R,path:hsa04020
ETNPPL,path:hsa00564
KLRK1,path:hsa05144;path:hsa04650
FRS3,WP2380
TDP2,WP3941
ETV5,path:hsa05215;path:hsa05202;WP138;WP4673
QDPR,path:hsa00790
SLC47A1,WP4917
STK38,WP2916
TFCP2,WP3888
ZNF2,path:hsa05168
ADH5,path:hsa00620;path:hsa00830;path:hsa00010;path:hsa00071;path:hsa00980;path:hsa00982;path:hsa05204;path:hsa00350;WP1589;WP3925
FANCB,path:hsa03460;WP4946
UBE2Z,path:hsa04120
FAH,path:hsa00350;WP3925
RRAGD,path:hsa04140;path:hsa05131;path:hsa04150;WP1471
PDE1B,path:hsa05032;path:hsa04020;path:hsa04924;path:hsa00230;path:hsa04742;path:hsa04740;WP35;WP4222
CBX3,path:hsa05131;WP410;WP4320
EFNA5,path:hsa04151;path:hsa04014;path:hsa04360;path:hsa04015;path:hsa04010;path:hsa05206;WP2877;WP3932;WP4148;WP4172;WP4561
XPO1,path:hsa03008;path:hsa05166;path:hsa03013;path:hsa05164;WP3302;WP4657
ATP6V0C,path:hsa04145;path:hsa04142;path:hsa05120;path:hsa00190;path:hsa05152;path:hsa04966;path:hsa05323;path:hsa05110;path:hsa04721;path:hsa05165;WP4917
FLT3,path:hsa04151;path:hsa05230;path:hsa05221;path:hsa04014;path:hsa04640;path:hsa04010;path:hsa05200;path:hsa05202;WP3657;WP3658;WP4172;WP4223;WP4540;WP4541
SCN4B,path:hsa04261;WP706
TXNRD2,path:hsa00450;path:hsa05225;path:hsa05200;WP15;WP408;WP4657
ANXA5,WP2864;WP3670;WP98
NOTCH4,path:hsa05224;path:hsa05206;path:hsa05200;path:hsa04330;path:hsa04919;path:hsa05165;WP2064;WP268;WP3845;WP3971;WP3888;WP4239;WP4262;WP4787;WP61
RPL18,path:hsa05171;path:hsa03010;WP477
TNPO1,WP4657
TM4SF19,WP4906
RPRD1B,WP5072
LDHD,path:hsa00620;WP4018
APOB,path:hsa05417;path:hsa04979;path:hsa04975;path:hsa04977;WP176;WP15;WP1533;WP430;WP4673
SUN1,WP4535
CEP19,WP4536;WP4803;WP4906
RP2,WP4656;WP4803
HDAC10,path:hsa05034;path:hsa04613;path:hsa05203;WP2064;WP2858;WP3996
MTCP1,path:hsa04151
FCGR2B,path:hsa04662;path:hsa04666;path:hsa04145;path:hsa05150;path:hsa05152;path:hsa04380;path:hsa05162
ATP6V0B,path:hsa04145;path:hsa04142;path:hsa05120;path:hsa00190;path:hsa05152;path:hsa05323;path:hsa05110;path:hsa04721;path:hsa05165;WP4917
SRP68,path:hsa03060
JARID2,path:hsa04550;WP2853;WP2857;WP2916
ARL6,WP4536;WP4803
DUSP7,path:hsa04010;WP382
TCL1B,path:hsa04151;WP3932;WP4172
PROM1,path:hsa05202;WP2870
BMP3,path:hsa04060;WP236
GP1BA,path:hsa04611;path:hsa04512;path:hsa04613;path:hsa04640;WP4657
BSCL2,WP236
SLC2A2,path:hsa05230;path:hsa04930;path:hsa04931;path:hsa04911;path:hsa04973;path:hsa04950;path:hsa04922;path:hsa04917;WP1584;WP1946;WP2882;WP2884;WP3932;WP4917;WP534
NUPR1,path:hsa05202
SMPD3,path:hsa00600
LMAN1,path:hsa04141;WP3888;WP558
ZNF101,path:hsa05168
ATAD2,WP2363
E2F5,path:hsa04350;path:hsa04110;path:hsa04218;WP179;WP2431;WP3527;WP366
PPP1R12C,path:hsa04510;path:hsa04921;path:hsa04810;path:hsa04270;path:hsa05205;WP306
RABL2A,WP4536
BUD31,path:hsa03040
HSP90AB2P,WP3888
CYP4V2,WP43;WP702
ZSCAN4,WP3527
DICER1,path:hsa05206;WP2338;WP2805;WP2943;WP411;WP4549;WP4844;WP4879
CEP295,WP4536
KLK1,path:hsa04614;path:hsa04961;WP272;WP4969
ATP5F1C,path:hsa05020;path:hsa05022;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa05012;WP111
NUDT19,path:hsa04146
TMEM165,WP4754
VHL,path:hsa04066;path:hsa04120;path:hsa05211;path:hsa05200;WP3678;WP4018;WP4241
FMOD,path:hsa04350
DCTN4,path:hsa05022;path:hsa05132;path:hsa05014;path:hsa04962;path:hsa05016
CASQ2,path:hsa04020;path:hsa04260;WP536
BAIAP2,path:hsa05135;path:hsa04520;path:hsa04810;path:hsa05130;WP51
KLF9,WP410
TAF7L,path:hsa03022
STIM2,path:hsa04020;WP536
TBC1D15,path:hsa04137
CCNB2,path:hsa04110;path:hsa04114;path:hsa04068;path:hsa05166;path:hsa04115;path:hsa05170;path:hsa04218;path:hsa04914;WP179;WP1530;WP2446;WP366;WP4754;WP707
PNPO,path:hsa00750;WP15;WP4228
DCTN2,path:hsa05022;path:hsa05132;path:hsa05014;path:hsa04962;path:hsa05016
KSR1,path:hsa04014;path:hsa04625;path:hsa05152;WP231;WP2380;WP4018;WP4223;WP4928
MTCH1,WP4754
TP63,path:hsa05206;WP1742;WP254;WP3655;WP4674
AHNAK,path:hsa05132
RTCB,WP4925
RPH3AL,WP2291
GNAI1,path:hsa04611;path:hsa04928;path:hsa04926;path:hsa04923;path:hsa04921;path:hsa05133;path:hsa05032;path:hsa05030;path:hsa05034;path:hsa04726;path:hsa04728;path:hsa04724;path:hsa04934;path:hsa04935;path:hsa04730;path:hsa04062;path:hsa04971;path:hsa04540;path:hsa04713;path:hsa04727;path:hsa04071;path:hsa04261;path:hsa05142;path:hsa04360;path:hsa04024;path:hsa04371;path:hsa04915;path:hsa04924;path:hsa04015;path:hsa05145;path:hsa05200;path:hsa04670;path:hsa05012;path:hsa05170;path:hsa04916;path:hsa04022;path:hsa04725;path:hsa05163;path:hsa04723;path:hsa04914;WP1602;WP2032;WP2197;WP2355;WP26;WP2636;WP35;WP3679;WP3929;WP4900;WP536
CHMP7,path:hsa04217;path:hsa04144
PPP1R17,path:hsa04730
HYAL2,path:hsa04142;path:hsa00531;WP4815
DNAJC8,WP411
IGLL1,path:hsa05340;WP4884
IL20,path:hsa04630;path:hsa04060;path:hsa04061
CCL16,path:hsa04062;path:hsa04060;path:hsa04061
CLPS,path:hsa04975
STAG3,path:hsa04114
STX11,path:hsa04130
GRB7,WP304;WP3303
PFKL,path:hsa00010;path:hsa00051;path:hsa05230;path:hsa04066;path:hsa04152;path:hsa04922;path:hsa03018;path:hsa00052;path:hsa00030;path:hsa04919;WP3614;WP4018;WP4290;WP481;WP534
DAZ1,WP4673
TNFRSF14,path:hsa04060;path:hsa04061;path:hsa05168
PDE4D,path:hsa04928;path:hsa05032;path:hsa04024;path:hsa00230;WP2032;WP289;WP35;WP4222
F8,path:hsa04610;WP272;WP558
MCM7,path:hsa04110;path:hsa03030;WP179;WP1530;WP2446;WP4352;WP45;WP466
UTP6,path:hsa03008
CMPK1,path:hsa00240;path:hsa00983;WP4022
ITGA5,path:hsa04512;path:hsa04510;path:hsa05100;path:hsa04151;path:hsa05133;path:hsa05135;path:hsa05414;path:hsa05410;path:hsa05412;path:hsa04145;path:hsa04810;path:hsa04640;path:hsa05131;path:hsa05205;path:hsa05206;path:hsa05165;path:hsa05168;WP185;WP2118;WP306;WP3932;WP4172;WP4217;WP4239;WP4541
TRAF5,path:hsa05222;path:hsa04668;path:hsa04621;path:hsa04217;path:hsa04657;path:hsa05131;path:hsa05200;path:hsa05203;path:hsa05170;path:hsa04064;path:hsa05163;path:hsa05169;path:hsa05168;WP2018;WP2036;WP4658;WP5039
HDAC5,path:hsa05034;path:hsa04613;path:hsa04371;path:hsa05206;path:hsa05203;WP1544;WP2023;WP2029;WP2064;WP2795;WP3414;WP3888;WP3996;WP4312
VPS25,path:hsa04144
ADAMTS5,WP2877;WP474;WP4754;WP4808
LEF1,path:hsa05132;path:hsa04520;path:hsa04934;path:hsa05412;path:hsa05221;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05215;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05200;path:hsa04916;path:hsa05216;path:hsa05213;path:hsa05210;path:hsa05167;WP2118;WP2853;WP2857;WP363;WP3646;WP3658;WP3664;WP3678;WP3845;WP399;WP4155;WP4216;WP4258;WP4262;WP428;WP4320;WP4336;WP4540;WP4816;WP4844;WP4879;WP560;WP710
SMARCC1,path:hsa04714;path:hsa05225;WP4204;WP4321
RAB11FIP5,path:hsa04144
BBS9,WP4352;WP4536;WP4656;WP4803
B3GLCT,path:hsa00514
C5,path:hsa04610;path:hsa05020;path:hsa05171;path:hsa05133;path:hsa05322;path:hsa04613;path:hsa05150;path:hsa04080;path:hsa05168;WP2328;WP2431;WP2806;WP3941;WP4493;WP545
WHAMM,path:hsa04530
DEFA3,path:hsa05150;path:hsa04621;path:hsa05202
CARS2,path:hsa00970
PYGM,path:hsa04931;path:hsa00500;path:hsa04922;path:hsa04217;path:hsa04910;WP500
RSL1D1,WP615
SEC31A,path:hsa04141;WP1982
SH3KBP1,path:hsa04144;WP437
NUP62,path:hsa05014;path:hsa03013
WDR45,WP4577
FUT3,path:hsa00601
GM2A,path:hsa04142;WP4153
ERI1,WP2805
FANCL,path:hsa03460;path:hsa04120;WP4946
RPP21,path:hsa03013
IL32,path:hsa04060
CASR,path:hsa04928;path:hsa04621;WP501
GSTP1,path:hsa00480;path:hsa05215;path:hsa05225;path:hsa05418;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa05204;path:hsa05200;WP2882;WP2884;WP3612;WP410;WP678;WP702
PSMA2,path:hsa05020;path:hsa05022;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05017;path:hsa03050;path:hsa05012;WP183
NOX5,WP408
PTK2B,path:hsa05135;path:hsa04062;path:hsa04912;path:hsa04020;path:hsa04650;path:hsa04072;path:hsa04670;path:hsa05170;path:hsa05163;path:hsa05161;WP205;WP2374;WP2380;WP2864;WP313;WP3888;WP3929;WP437;WP4666;WP4747;WP49;WP69
LRRC25,WP2877
CALY,path:hsa04728
DAB2IP,path:hsa04668;path:hsa04210;WP4217
EID2,WP366
ALDH18A1,path:hsa00330;WP3925
CAV1,path:hsa05020;path:hsa04510;path:hsa05100;path:hsa05416;path:hsa05418;path:hsa05205;path:hsa04144;WP138;WP185;WP2817;WP306;WP366;WP3888;WP4217;WP4298;WP437
IQGAP3,path:hsa04810;WP4352
SEMA3F,path:hsa04360
RNASEH2B,path:hsa03030
GRIN2C,path:hsa05020;path:hsa05022;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04724;path:hsa05010;path:hsa05014;path:hsa05033;path:hsa05017;path:hsa04720;path:hsa04713;path:hsa04024;path:hsa04020;path:hsa04080;WP2059;WP4008;WP4222;WP4539;WP4698;WP4875
ACHE,path:hsa00564;path:hsa04725;WP3298;WP528;WP550;WP727
CLDN11,path:hsa04514;path:hsa04530;path:hsa05130;path:hsa05160;path:hsa04670;WP2858;WP4239
SMARCD1,path:hsa04714;path:hsa05225;WP4204;WP4321
MEIS1,path:hsa04550;path:hsa05202;WP2857
PIGQ,path:hsa00563
CYP17A1,path:hsa04927;path:hsa04934;path:hsa00140;path:hsa04913;path:hsa04917;WP43;WP4523;WP4524;WP4673;WP496;WP702
BUB1B,path:hsa04110;path:hsa05166;WP4240
NDUFV2,path:hsa05020;path:hsa05022;path:hsa04932;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa05012;path:hsa04723;WP111;WP4396;WP623
GPI,path:hsa00010;path:hsa00500;path:hsa00520;path:hsa00030;WP1946;WP4018;WP4290;WP4629;WP534
UPF1,path:hsa03015;path:hsa03013
NUP50,path:hsa05014;path:hsa03013
MTNR1A,path:hsa04713;path:hsa04080;WP247;WP3298;WP455
PTCRA,path:hsa05202;path:hsa04330;WP268;WP4298;WP61
TLE2,path:hsa04310;path:hsa04330
BAP1,WP4018
PPM1J,WP399
SLC2A4,path:hsa04920;path:hsa04930;path:hsa04931;path:hsa05415;path:hsa04068;path:hsa04152;path:hsa04910;WP1403;WP1584;WP1946;WP236;WP2877;WP2882;WP2884;WP3599;WP3915;WP3932;WP4030;WP4657;WP481;WP4844;WP4970;WP5046;WP534
UBE2V2,path:hsa05131
HTN1,path:hsa04970
MOCS2,path:hsa00790;path:hsa04122
ZNF180,path:hsa05168
GJA5,WP3413;WP4905;WP536
UBD,WP4673
TMPRSS6,WP3924
PRPF40B,path:hsa03040
CARNMT1,path:hsa00340
ITGB6,path:hsa04512;path:hsa04510;path:hsa04151;path:hsa05414;path:hsa05410;path:hsa05412;path:hsa04810;path:hsa05165;WP185;WP2118;WP2911;WP306;WP3932;WP4172;WP4534;WP4541;WP4816;WP560
L2HGDH,path:hsa00650;WP4519
TAAR8,path:hsa04080
PIAS4,path:hsa04630;path:hsa04120;path:hsa05418;path:hsa04064;WP138
NAGPA,path:hsa04142
DKK2,path:hsa05022;path:hsa04310;path:hsa05010;WP3927;WP4258;WP428;WP4336
FAHD1,path:hsa00350
HIPK1,path:hsa04218;WP3938
IL19,path:hsa04630;path:hsa04060;path:hsa04061
RASGRP2,path:hsa04611;path:hsa04062;path:hsa04014;path:hsa04015;path:hsa04010;path:hsa05200;WP382;WP3929;WP4223
CCL15,path:hsa04062;path:hsa04060;path:hsa04061;WP3929
PHF5A,path:hsa03040;WP411
MTMR14,path:hsa00562;path:hsa04140;path:hsa04070
ACTN2,path:hsa05412;WP2118;WP383;WP4008
CHMP3,path:hsa04217;path:hsa04144
PKD1L3,path:hsa04742
GIPR,path:hsa04024;path:hsa04080;WP334
MT2A,path:hsa04978;WP3286;WP3529;WP3624
CLDN16,path:hsa04514;path:hsa04530;path:hsa05130;path:hsa05160;path:hsa04670;WP4239
IL1F10,path:hsa04060
ZNF675,path:hsa05168
GRK5,path:hsa05032;path:hsa04062;path:hsa04144;WP289;WP3929;WP536
DUSP2,path:hsa04010;WP2853;WP382;WP4538
TCERG1,path:hsa03040
COX15,path:hsa04714;path:hsa00190;path:hsa00860;WP111;WP4922
PDCD1,path:hsa04514;path:hsa04660;path:hsa05235;WP2583;WP3863;WP4559;WP4585
VIM,path:hsa05206;path:hsa05169;WP2328;WP2431;WP2572;WP2814;WP2864;WP383;WP3859;WP4352;WP69
