Interactor 1,Interactor 2,is_directed,BIOGRID,pathway,complex,Confidence
SMAD6,HOXC8,1.0,True,True,True,0.954
SMAD6,ACVR1,1.0,True,True,False,0.73
SMAD6,SMAD7,0.0,True,True,True,0.87
SMAD6,TGFBR1,1.0,True,True,True,0.992
SMAD6,SMAD2,1.0,True,True,True,0.72
SMAD6,BMPR1A,1.0,True,True,True,0.986
SMAD6,BMPR1B,1.0,True,True,False,0.992
SMAD6,PELI1,1.0,True,True,True,0.63
SMAD6,MAP3K7,-1.0,True,True,True,0.966
SMAD6,SMAD1,1.0,True,True,True,0.89
SMAD6,TAB1,1.0,True,True,True,0.73
SMAD6,CTBP1,0.0,True,True,True,0.88
SMAD7,WWP2,0.0,True,True,False,0.9
SMAD7,MAP3K7,1.0,True,True,True,0.968
SMAD7,STRAP,1.0,True,True,True,0.84
SMAD7,SMURF1,1.0,True,True,True,0.999
SMAD7,SMURF2,1.0,True,True,True,0.999
SMAD7,SMAD2,1.0,True,True,True,0.78
SMAD7,TGFBR2,1.0,True,True,True,0.994
SMAD7,TGFBR1,1.0,True,True,True,0.999
SMAD7,PPP1R15A,1.0,True,True,False,0.998
SMAD7,PIAS4,0.0,True,True,False,0.87
SMAD7,ACVR1,1.0,True,True,False,0.63
SMAD7,BMPR1A,1.0,True,True,True,0.987
SMAD7,BMPR1B,1.0,False,True,False,0.977
SMAD7,DVL1,0.0,True,True,True,0.84
SMAD7,TAB3,1.0,True,True,True,0.63
SMAD7,TAB2,1.0,True,True,True,0.63
SMAD7,TAB1,1.0,True,True,True,0.83
SMAD1,RUNX2,1.0,True,True,True,0.84
SMAD1,HOXC8,-1.0,True,True,True,0.835
SMAD1,SMAD3,0.0,True,True,True,0.84
SMAD1,DVL1,1.0,True,True,True,0.81
SMAD1,TOB1,0.0,True,True,True,0.89
SMAD2,ZEB2,1.0,True,True,True,0.78
SMAD2,SMAD3,1.0,True,True,True,0.9
SMAD2,LEF1,1.0,True,True,True,0.88
SMAD2,SNW1,0.0,True,True,True,0.89
SMAD2,MEF2C,1.0,True,True,False,0.75
SMAD2,MEF2A,1.0,True,True,True,0.79
SMAD2,CREBBP,1.0,True,True,True,0.997
SMAD2,TGFBR1,-1.0,True,True,True,0.999
SMAD2,EP300,1.0,True,True,True,0.88
SMAD2,SKIL,1.0,True,True,True,0.89
SMAD2,TGIF1,0.0,True,True,True,0.87
SMAD2,WWP2,0.0,True,True,False,0.88
SMAD2,AKT1,0.0,True,True,True,0.86
SMAD2,SMURF2,1.0,True,True,True,0.999
SMAD2,JUN,0.0,True,True,True,0.89
SMAD2,ESR1,0.0,True,True,True,0.85
SMAD2,STRAP,-1.0,True,True,True,0.74
SMAD2,E2F4,1.0,False,True,True,0.52
SMAD2,PIN1,0.0,True,True,True,0.88
SMAD2,GSC,1.0,False,False,False,0.52
SMAD2,RBL1,1.0,False,True,True,0.55
SMAD2,PIAS4,0.0,True,True,False,0.86
SMAD3,MAX,1.0,True,True,True,0.87
SMAD3,ZEB1,-1.0,True,True,True,0.74
SMAD3,ZEB2,1.0,True,True,True,0.83
SMAD3,NEDD4,0.0,True,True,True,0.86
SMAD3,LEF1,1.0,True,True,True,0.88
SMAD3,FOXO3,0.0,True,True,True,0.89
SMAD3,MYOD1,-1.0,False,True,True,0.62
SMAD3,E2F5,1.0,False,True,True,0.55
